Building SF,Year Built,Building Tax Expenses,Coverage,Improvement Ratio,Distance_to_Nearest_Port,Latitude,Longitude,distance_public_transport,distance_to_highway,distance_to_nearest_airport,distance_to_nearest_rail,distance_to_nearest_dc,distance_to_residential,Market Asking Rent Growth,Vacancy Rate,Sales Volume Transactions,Market Cap Rate,Under Construction SF,Net Absorption SF,Population,Industrial Employment,Under Construction SF Growth,Population Growth,Industrial Employment Growth,Secondary Type,Building Class,Sale Quarter,Sale Price
42700,1966.0,103761.0,0.529868711686894,57.43,99.6699341750088,32.654123,-117.10119,0.2228266159265025,0.2004612292463382,7.522828003895299,97.57458728235436,10.088433790324808,0.6877630724876539,0.015,0.057,79.0,0.059000000000000004,1402497.0,-199514.0,3299437.0,203454.0,0.001227826496286204,-2.8185832527616304e-07,1.3140604467805072e-05,Showroom,C,2020Q1,6700000.0
15412,1971.0,34060.52,0.568456771909118,79.38,24.63305752969561,34.007914,-117.914784,0.1149459686535472,0.99277198705019,18.297999217268288,2.5771518988058597,15.61579158875817,0.1804763614876479,0.017,0.028999999999999998,225.0,0.05,5076206.0,-2986670.0,10031160.0,494737.0,-0.0021658518773335776,-1.4921138943774226e-05,-1.1286180385062795e-05,Warehouse,C,2020Q1,2400000.0
2100,1969.0,15729.0,0.192837465564738,59.75,38.703700671791886,37.3254819,-121.895064,0.1243072091049518,0.0705674158185476,3.2388211146257406,39.54492716719877,20.867998672619866,0.0590553957498226,0.01,0.061,55.0,0.054000000000000006,1897396.0,-95187.0,2003622.0,223992.0,0.005830577257451417,-1.3561988154567884e-05,1.0591942079507533e-05,Distribution,C,2020Q1,1100000.0
1896,1989.0,1801.1999999999998,0.0512072597634095,,57.60992359546992,34.1044236,-117.3045104,0.272647824912334,0.1501935638362914,17.339492344909026,2.8751856682338834,6.315893303538806,1.06155740183067,0.021,0.042,121.0,0.049,22027266.0,8104857.0,4593484.0,213701.0,-0.0004605282760264584,1.6024386547714987e-05,4.446428991093043e-05,Showroom,C,2020Q1,558735.0
143327,2019.0,,0.323463499292486,,59.31218444249405,34.0833311,-117.2610544,0.6688582609986085,1.2461844538659437,19.597916254108355,2.4385552420401027,7.977065467899551,0.8963224546807502,0.021,0.042,121.0,0.049,22027266.0,8104857.0,4593484.0,213701.0,-0.0004605282760264584,1.6024386547714987e-05,4.446428991093043e-05,Distribution,A,2020Q1,31500000.0
97546,2002.0,123883.42,0.368414637119384,71.85,53.770642368429456,34.007692,-117.330188,0.6693955392488898,0.8778604008972937,15.892807448052556,3.4257869666995244,4.821145523858011,0.4484492014486508,0.021,0.042,121.0,0.049,22027266.0,8104857.0,4593484.0,213701.0,-0.0004605282760264584,1.6024386547714987e-05,4.446428991093043e-05,Manufacturing,B,2020Q1,10500000.0
6953,1967.0,31775.210000000003,0.249408135447306,22.41,33.50958508167192,34.2082973,-118.4217981,0.4275840258590494,0.9455846102418088,3.751781534584677,15.876833922171796,18.569804002532564,0.1578972325018043,0.017,0.028999999999999998,225.0,0.05,5076206.0,-2986670.0,10031160.0,494737.0,-0.0021658518773335776,-1.4921138943774226e-05,-1.1286180385062795e-05,Warehouse,C,2020Q1,2325000.0
4928,1952.0,15966.72,0.204464359804166,55.78,18.54125045280712,34.0012963,-118.0904373,0.340497634181659,1.2952992526326348,13.13152737818685,4.500081306969489,9.07900523499216,0.2171429482506648,0.017,0.028999999999999998,225.0,0.05,5076206.0,-2986670.0,10031160.0,494737.0,-0.0021658518773335776,-1.4921138943774226e-05,-1.1286180385062795e-05,Service,C,2020Q1,985000.0
1650,1960.0,11170.5,0.291365000882924,9.09,28.049103608310823,34.1474352,-118.0949815,0.0284698616904587,0.3930729657958081,15.436993053434811,9.639606817922242,14.369670242860964,0.1879425621599135,0.017,0.028999999999999998,225.0,0.05,5076206.0,-2986670.0,10031160.0,494737.0,-0.0021658518773335776,-1.4921138943774226e-05,-1.1286180385062795e-05,Warehouse,C,2020Q1,868000.0
212000,1982.0,163240.0,0.191608280369912,94.69,118.40423137129356,33.6690956,-116.1588766,1.25496592292227,1.4339628270420242,22.900894411803524,70.80443834796141,62.09787919609424,0.2486808855761357,0.021,0.042,121.0,0.049,22027266.0,8104857.0,4593484.0,213701.0,-0.0004605282760264584,1.6024386547714987e-05,4.446428991093043e-05,Warehouse,C,2020Q1,12100000.0
169750,1979.0,229162.50000000003,0.180915758801725,88.66,178.65853971015724,36.2827092,-119.6519335,2.8086938754322603,2.6485626778632985,34.19880362550706,32.22880267929013,32.26902734984422,0.2811162894209704,0.013000000000000001,0.016,1.0,0.061,,2050.0,152520.0,5816.0,,-1.3112862406683412e-07,-0.0003436825502241403,Warehouse,B,2020Q1,6500000.0
36352,1981.0,43985.92,0.423618799016466,45.43,37.10654878306747,34.062659,-117.686757,0.6852710176074763,1.496307058911065,4.937780012301949,15.935921947665102,2.057333956003167,0.4169502292414486,0.021,0.042,121.0,0.049,22027266.0,8104857.0,4593484.0,213701.0,-0.0004605282760264584,1.6024386547714987e-05,4.446428991093043e-05,Warehouse,B,2020Q1,3850000.0
11220,1989.0,29957.4,0.934922089825848,47.01,12.339951189897448,33.775407,-118.003147,0.131720112720874,0.2928736889390717,9.020437957038387,13.078248548046908,19.953791478403097,0.3975371383050748,0.016,0.031,103.0,0.051,1024564.0,611536.0,3187916.0,266602.0,0.0013596968275773368,-7.590589926853575e-07,2.391283096335517e-05,Manufacturing,B,2020Q1,2356500.0
